[?1034hType                                  Module                      Label             Process   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIHit"           ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIState"         ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2"       ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2IOHit"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2OIHit"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3TkTracksFromL2OIState"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltPixelTracks"            ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIOHit"           "L2Seeded"        "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIHit"           "L2Seeded"        "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsOIState"         "L2Seeded"        "HLT"     
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "HLT"     
edm::RangeMap<CSCDetId,edm::OwnVector<CSCRecHit2D,edm::ClonePolicy<CSCRecHit2D> >,edm::ClonePolicy<CSCRecHit2D> >    "hltCsc2DRecHits"           ""                "HLT"     
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "hltCscSegments"            ""                "HLT"     
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "hltDt4DSegments"           ""                "HLT"     
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "hltRpcRecHits"             ""                "HLT"     
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "hltTowerMakerForAll"       ""                "HLT"     
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "simEcalDigis"              "ebSrFlags"       "HLT"     
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "simEcalDigis"              "eeSrFlags"       "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalRecHit"             "EcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltRechitInRegionsECAL"    "EcalRecHitsEB"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalRecHit"             "EcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltRechitInRegionsECAL"    "EcalRecHitsEE"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEcalPreshowerRecHit"    "EcalRecHitsES"   "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltRechitInRegionsES"      "EcalRecHitsES"   "HLT"     
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "simEcalTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<HcalTriggerPrimitiveDigi> >    "simHcalTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalDigis"              "HBHEUpgradeDigiCollection"   "HLT"     
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalUnsuppressedDigis"   "HBHEUpgradeDigiCollection"   "HLT"     
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalDigis"              "HFUpgradeDigiCollection"   "HLT"     
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalUnsuppressedDigis"   "HFUpgradeDigiCollection"   "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "hcalDigis"                 ""                "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edm::ValueMap<float>                  "hltIter0ElectronsTrackSelectionHighPurity"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter0PFlowTrackSelectionHighPurity"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter0PFlowTrackSelectionHighPurityForPhotons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1ElectronsTrackSelectionHighPurity"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1ElectronsTrackSelectionHighPurityLoose"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1ElectronsTrackSelectionHighPurityTight"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1Merged"            "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1MergedForElectrons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1MergedForPhotons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1PFlowTrackSelectionHighPurity"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1PFlowTrackSelectionHighPurityForPhotons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1PFlowTrackSelectionHighPurityLoose"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1PFlowTrackSelectionHighPurityLooseForPhotons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1PFlowTrackSelectionHighPurityTight"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter1PFlowTrackSelectionHighPurityTightForPhotons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter2ElectronsTrackSelectionHighPurity"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter2Merged"            "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter2MergedForElectrons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter2MergedForPhotons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter2PFlowTrackSelectionHighPurity"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltIter2PFlowTrackSelectionHighPurityForPhotons"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltL3TkTracksFromL2"       "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltL3TkTracksMergeStep1"   "MVAVals"         "HLT"     
edm::ValueMap<float>                  "hltPFMuonMerging"          "MVAVals"         "HLT"     
edmNew::DetSetVector<SiPixelCluster>    "hltSiPixelClusters"        ""                "HLT"     
edmNew::DetSetVector<SiStripCluster>    "hltSiStripRawToClustersFacility"   ""                "HLT"     
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"     
reco::BeamSpot                        "hltOnlineBeamSpot"         ""                "HLT"     
pair<int,vector<L1CSCSPStatusDigi> >    "csctfDigis"                ""                "HLT"     
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "HLT"     
vector<DcsStatus>                     "hltScalersRawToDigi"       ""                "HLT"     
vector<DcsStatus>                     "scalersRawToDigi"          ""                "HLT"     
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "HLT"     
vector<L1CaloEmCand>                  "gctDigis"                  ""                "HLT"     
vector<L1CaloEmCand>                  "simRctDigis"               ""                "HLT"     
vector<L1CaloRegion>                  "gctDigis"                  ""                "HLT"     
vector<L1CaloRegion>                  "simRctDigis"               ""                "HLT"     
vector<L1GctEmCand>                   "gctDigis"                  "isoEm"           "HLT"     
vector<L1GctEmCand>                   "gctDigis"                  "nonIsoEm"        "HLT"     
vector<L1GctEtHad>                    "gctDigis"                  ""                "HLT"     
vector<L1GctEtMiss>                   "gctDigis"                  ""                "HLT"     
vector<L1GctEtTotal>                  "gctDigis"                  ""                "HLT"     
vector<L1GctFibreWord>                "gctDigis"                  ""                "HLT"     
vector<L1GctHFBitCounts>              "gctDigis"                  ""                "HLT"     
vector<L1GctHFRingEtSums>             "gctDigis"                  ""                "HLT"     
vector<L1GctHtMiss>                   "gctDigis"                  ""                "HLT"     
vector<L1GctInternEmCand>             "gctDigis"                  ""                "HLT"     
vector<L1GctInternEtSum>              "gctDigis"                  ""                "HLT"     
vector<L1GctInternHFData>             "gctDigis"                  ""                "HLT"     
vector<L1GctInternHtMiss>             "gctDigis"                  ""                "HLT"     
vector<L1GctInternJetData>            "gctDigis"                  ""                "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "cenJets"         "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "forJets"         "HLT"     
vector<L1GctJetCand>                  "gctDigis"                  "tauJets"         "HLT"     
vector<L1GctJetCounts>                "gctDigis"                  ""                "HLT"     
vector<L1MuGMTCand>                   "gtDigis"                   ""                "HLT"     
vector<L1MuGMTCand>                   "hltGtDigis"                ""                "HLT"     
vector<L1MuGMTCand>                   "simGmtDigis"               ""                "HLT"     
vector<L1MuRegionalCand>              "gtDigis"                   "CSC"             "HLT"     
vector<L1MuRegionalCand>              "simCsctfDigis"             "CSC"             "HLT"     
vector<L1MuRegionalCand>              "gtDigis"                   "DT"              "HLT"     
vector<L1MuRegionalCand>              "simDttfDigis"              "DT"              "HLT"     
vector<L1MuRegionalCand>              "gtDigis"                   "RPCb"            "HLT"     
vector<L1MuRegionalCand>              "simRpcTriggerDigis"        "RPCb"            "HLT"     
vector<L1MuRegionalCand>              "gtDigis"                   "RPCf"            "HLT"     
vector<L1MuRegionalCand>              "simRpcTriggerDigis"        "RPCf"            "HLT"     
vector<L1TriggerError>                "gctDigis"                  ""                "HLT"     
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "HLT"     
vector<L2MuonTrajectorySeed>          "hltL2MuonSeeds"            ""                "HLT"     
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedIOHit"        ""                "HLT"     
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedOIHit"        ""                "HLT"     
vector<L3MuonTrajectorySeed>          "hltL3TrajSeedOIState"      ""                "HLT"     
vector<L3MuonTrajectorySeed>          "hltL3TrajectorySeed"       ""                "HLT"     
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "HLT"     
vector<LumiScalers>                   "hltScalersRawToDigi"       ""                "HLT"     
vector<LumiScalers>                   "scalersRawToDigi"          ""                "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<RPCDigiL1Link>                 "simRpcTriggerDigis"        "RPCb"            "HLT"     
vector<RPCDigiL1Link>                 "simRpcTriggerDigis"        "RPCf"            "HLT"     
vector<TrackCandidate>                "hltL3TrackCandidateFromL2IOHit"   ""                "HLT"     
vector<TrackCandidate>                "hltL3TrackCandidateFromL2OIHit"   ""                "HLT"     
vector<TrackCandidate>                "hltL3TrackCandidateFromL2OIState"   ""                "HLT"     
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "HLT"     
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "HLT"     
vector<double>                        "ak4GenJets"                "rhos"            "HLT"     
vector<double>                        "ak8GenJets"                "rhos"            "HLT"     
vector<double>                        "hltAK4CaloJets"            "rhos"            "HLT"     
vector<double>                        "hltAK4PFJets"              "rhos"            "HLT"     
vector<double>                        "ak4GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak8GenJets"                "sigmas"          "HLT"     
vector<double>                        "hltAK4CaloJets"            "sigmas"          "HLT"     
vector<double>                        "hltAK4PFJets"              "sigmas"          "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<l1extra::L1EmParticle>         "hltL1extraParticles"       "Isolated"        "HLT"     
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "HLT"     
vector<l1extra::L1EmParticle>         "hltL1extraParticles"       "NonIsolated"     "HLT"     
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "HLT"     
vector<l1extra::L1EtMissParticle>     "hltL1extraParticles"       "MET"             "HLT"     
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "HLT"     
vector<l1extra::L1EtMissParticle>     "hltL1extraParticles"       "MHT"             "HLT"     
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "HLT"     
vector<l1extra::L1HFRings>            "hltL1extraParticles"       ""                "HLT"     
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "HLT"     
vector<l1extra::L1JetParticle>        "hltL1extraParticles"       "Central"         "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "HLT"     
vector<l1extra::L1JetParticle>        "hltL1extraParticles"       "Forward"         "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "HLT"     
vector<l1extra::L1JetParticle>        "hltL1extraParticles"       "IsoTau"          "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "IsoTau"          "HLT"     
vector<l1extra::L1JetParticle>        "hltL1extraParticles"       "Tau"             "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "HLT"     
vector<l1extra::L1MuonParticle>       "hltL1extraParticles"       ""                "HLT"     
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "HLT"     
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALBarrel"   "HLT"     
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALEndcap"   "HLT"     
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALPreshower"   "HLT"     
vector<reco::CaloJet>                 "hltAK4CaloJets"            ""                "HLT"     
vector<reco::CaloJet>                 "hltAK4CaloJetsCorrected"   ""                "HLT"     
vector<reco::CaloJet>                 "hltAK4CaloJetsCorrectedIDPassed"   ""                "HLT"     
vector<reco::CaloJet>                 "hltAK4CaloJetsIDPassed"    ""                "HLT"     
vector<reco::CaloJet>                 "hltAK4CaloJetsPF"          ""                "HLT"     
vector<reco::CaloJet>                 "hltAK4CaloJetsPFEt5"       ""                "HLT"     
vector<reco::Electron>                "hltEgammaGsfElectrons"     ""                "HLT"     
vector<reco::ElectronSeed>            "hltEgammaElectronPixelSeeds"   ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
